company,price_rupiah,diameter,topping,variant,size,extra_sauce,extra_cheese
A,235,22,chicken,double_signature,jumbo,yes,yes
A,198,20,papperoni,double_signature,jumbo,yes,yes
A,120,16,mushrooms,double_signature,reguler,yes,yes
A,155,14,smoked beef,double_signature,reguler,yes,no
A,248,18,mozzarella,double_signature,jumbo,yes,no
A,140,18.5,black papper,american_favorite,jumbo,no,no
A,11,16,smoked beef,american_favorite,jumbo,no,yes
A,70,8,papperoni,american_favorite,reguler,no,no
A,90,12,mushrooms,american_favorite,reguler,yes,no
A,90,12,smoked beef,american_favorite,reguler,no,no
A,140,18.5,mozzarella,super_supreme,jumbo,no,no
A,110,16,black papper,super_supreme,jumbo,yes,yes
A,70,8,smoked beef,super_supreme,reguler,yes,yes
A,90,12,black papper,super_supreme,reguler,no,yes
A,90,12,mozzarella,super_supreme,reguler,no,yes
A,140,18.5,mozzarella,meat_lovers,jumbo,no,yes
A,11,16,smoked beef,meat_lovers,jumbo,no,yes
A,70,8,chicken,meat_lovers,reguler,yes,yes
A,90,12,mushrooms,meat_lovers,reguler,yes,yes
A,90,12,mozzarella,meat_lovers,reguler,yes,yes
A,230,22,chicken,double_mix,jumbo,yes,yes
A,188,18.5,mushrooms,double_mix,jumbo,yes,yes
A,114,14,chicken,double_mix,reguler,yes,yes
A,149,16.5,smoked beef,double_mix,reguler,yes,no
A,149,16.5,chicken,double_mix,reguler,yes,no
B,23,8.5,mozzarella,classic,small,yes,no
B,46,12,chicken,classic,medium,yes,no
B,72,14,smoked beef,classic,large,yes,no
B,49,12,mozzarella,crunchy,medium,no,no
B,82,17,chicken,new_york,XL,no,yes
B,96,12,chicken,double_decker,medium,no,yes
B,31,8.5,mushrooms,classic,small,yes,yes
B,69,12,chicken,classic,medium,no,yes
B,93,14,mushrooms,classic,large,no,yes
B,75,12,mushrooms,crunchy,medium,no,yes
B,115,17,mozzarella,new_york,XL,no,yes
B,123,12,smoked beef,double_decker,medium,yes,yes
B,33,8.5,chicken,classic,small,no,yes
B,46,12,mozzarella,classic,medium,yes,yes
B,72,14,chicken,classic,large,yes,yes
B,76,12,chicken,crunchy,medium,no,no
B,119,17,mushrooms,new_york,XL,yes,no
B,126,12,smoked beef,double_decker,medium,yes,no
B,75,8.5,smoked beef,classic,small,yes,yes
B,46,12,mushrooms,classic,medium,yes,yes
B,72,14,mozzarella,classic,large,yes,yes
B,49,12,smoked beef,crunchy,medium,no,yes
B,83,17,chicken,new_york,XL,no,yes
B,96,12,mushrooms,double_decker,medium,no,yes
C,39,8.5,tuna,spicy_tuna,small,yes,yes
